Date,Value
1946-10-01,227707.0
1947-10-01,249820.0
1948-10-01,274677.0
1949-10-01,272692.0
1950-10-01,300049.0
1951-10-01,347153.0
1952-01-01,359819.0
1952-04-01,361031.0
1952-07-01,367701.0
1952-10-01,380812.0
1953-01-01,387981.0
1953-04-01,391750.0
1953-07-01,391171.0
1953-10-01,385968.0
1954-01-01,385346.0
1954-04-01,386122.0
1954-07-01,390996.0
1954-10-01,399733.0
1955-01-01,413074.0
1955-04-01,421532.0
1955-07-01,430221.0
1955-10-01,437093.0
1956-01-01,439745.0
1956-04-01,446011.0
1956-07-01,451191.0
1956-10-01,460462.0
1957-01-01,469778.0
1957-04-01,472025.0
1957-07-01,479491.0
1957-10-01,474864.0
1958-01-01,467541.0
1958-04-01,471978.0
1958-07-01,485841.0
1958-10-01,499556.0
1959-01-01,510329.0
1959-04-01,522653.0
1959-07-01,525033.0
1959-10-01,528600.0
1960-01-01,542649.0
1960-04-01,541078.0
1960-07-01,545604.0
1960-10-01,540197.0
1961-01-01,545017.0
1961-04-01,555546.0
1961-07-01,567664.0
1961-10-01,580613.0
1962-01-01,594014.0
1962-04-01,600367.0
1962-07-01,609026.0
1962-10-01,612281.0
1963-01-01,621672.0
1963-04-01,629752.0
1963-07-01,644444.0
1963-10-01,653937.0
1964-01-01,669823.0
1964-04-01,678673.0
1964-07-01,692031.0
1964-10-01,697318.0
1965-01-01,717790.0
1965-04-01,730191.0
1965-07-01,749322.0
1965-10-01,771857.0
1966-01-01,795734.0
1966-04-01,804981.0
1966-07-01,819639.0
1966-10-01,833302.0
1967-01-01,844170.0
1967-04-01,848982.0
1967-07-01,865232.0
1967-10-01,881441.0
1968-01-01,909388.0
1968-04-01,934344.0
1968-07-01,950826.0
1968-10-01,968032.0
1969-01-01,993336.0
1969-04-01,1009020.0
1969-07-01,1029956.0
1969-10-01,1038148.0
1970-01-01,1051199.0
1970-04-01,1067375.0
1970-07-01,1086058.0
1970-10-01,1088607.0
1971-01-01,1135157.0
1971-04-01,1156271.0
1971-07-01,1177675.0
1971-10-01,1190297.0
1972-01-01,1230610.0
1972-04-01,1266369.0
1972-07-01,1290568.0
1972-10-01,1328904.0
1973-01-01,1377491.0
1973-04-01,1413887.0
1973-07-01,1433838.0
1973-10-01,1476288.0
1974-01-01,1491209.0
1974-04-01,1530056.0
1974-07-01,1560026.0
1974-10-01,1599680.0
1975-01-01,1616115.0
1975-04-01,1651853.0
1975-07-01,1709820.0
1975-10-01,1761831.0
1976-01-01,1820488.0
1976-04-01,1852333.0
1976-07-01,1886557.0
1976-10-01,1934273.0
1977-01-01,1988649.0
1977-04-01,2055909.0
1977-07-01,2118474.0
1977-10-01,2164270.0
1978-01-01,2202759.0
1978-04-01,2331632.0
1978-07-01,2395054.0
1978-10-01,2476948.0
1979-01-01,2526610.0
1979-04-01,2591248.0
1979-07-01,2667566.0
1979-10-01,2723883.0
1980-01-01,2789843.0
1980-04-01,2797353.0
1980-07-01,2856482.0
1980-10-01,2985556.0
1981-01-01,3124206.0
1981-04-01,3162531.0
1981-07-01,3260609.0
1981-10-01,3280820.0
1982-01-01,3274303.0
1982-04-01,3331971.0
1982-07-01,3366321.0
1982-10-01,3402558.0
1983-01-01,3473412.0
1983-04-01,3578847.0
1983-07-01,3689179.0
1983-10-01,3794706.0
1984-01-01,3908055.0
1984-04-01,4009600.0
1984-07-01,4084248.0
1984-10-01,4148552.0
1985-01-01,4230168.0
1985-04-01,4294886.0
1985-07-01,4386772.0
1985-10-01,4444095.0
1986-01-01,4507892.0
1986-04-01,4545342.0
1986-07-01,4607669.0
1986-10-01,4657625.0
1987-01-01,4722156.0
1987-04-01,4806160.0
1987-07-01,4884555.0
1987-10-01,5007996.0
1988-01-01,5073372.0
1988-04-01,5190035.0
1988-07-01,5282835.0
1988-10-01,5399509.0
1989-01-01,5511252.0
1989-04-01,5612463.0
1989-07-01,5695365.0
1989-10-01,5747238.0
1990-01-01,5872701.0
1990-04-01,5960028.0
1990-07-01,6015117.0
1990-10-01,6004732.0
1991-01-01,6035178.0
1991-04-01,6126862.0
1991-07-01,6205936.0
1991-10-01,6264541.0
1992-01-01,6363103.0
1992-04-01,6470765.0
1992-07-01,6566640.0
1992-10-01,6680802.0
1993-01-01,6729458.0
1993-04-01,6808939.0
1993-07-01,6882098.0
1993-10-01,7013739.0
1994-01-01,7115653.0
1994-04-01,7246932.0
1994-07-01,7331074.0
1994-10-01,7455289.0
1995-01-01,7522290.0
1995-04-01,7580998.0
1995-07-01,7683127.0
1995-10-01,7772585.0
1996-01-01,7868468.0
1996-04-01,8032840.0
1996-07-01,8131409.0
1996-10-01,8259771.0
1997-01-01,8362654.0
1997-04-01,8518826.0
1997-07-01,8662823.0
1997-10-01,8765907.0
1998-01-01,8866480.0
1998-04-01,8969699.0
1998-07-01,9121097.0
1998-10-01,9293992.0
1999-01-01,9417263.0
1999-04-01,9524153.0
1999-07-01,9681855.0
1999-10-01,9899378.0
2000-01-01,10002857.0
2000-04-01,10247679.0
2000-07-01,10319824.0
2000-10-01,10439023.0
2001-01-01,10472880.0
2001-04-01,10597820.0
2001-07-01,10596294.0
2001-10-01,10660292.0
2002-01-01,10788952.0
2002-04-01,10893207.0
2002-07-01,10992049.0
2002-10-01,11071464.0
2003-01-01,11183508.0
2003-04-01,11312876.0
2003-07-01,11567326.0
2003-10-01,11769275.0
2004-01-01,11920169.0
2004-04-01,12108986.0
2004-07-01,12303340.0
2004-10-01,12522424.0
2005-01-01,12761338.0
2005-04-01,12910021.0
2005-07-01,13142874.0
2005-10-01,13332315.0
2006-01-01,13603934.0
2006-04-01,13749806.0
2006-07-01,13867469.0
2006-10-01,14037228.0
2007-01-01,14208570.0
2007-04-01,14382361.0
2007-07-01,14535005.0
2007-10-01,14681502.0
2008-01-01,14651039.0
2008-04-01,14805612.0
2008-07-01,14835187.0
2008-10-01,14559542.0
2009-01-01,14394547.0
2009-04-01,14352850.0
2009-07-01,14420312.0
2009-10-01,14628021.0
2010-01-01,14721350.0
2010-04-01,14926096.0
2010-07-01,15079917.0
2010-10-01,15240845.0
2011-01-01,15285828.0
2011-04-01,15496189.0
2011-07-01,15591851.0
2011-10-01,15796459.0
2012-01-01,16019759.0
2012-04-01,16152256.0
2012-07-01,16257151.0
2012-10-01,16358863.0
2013-01-01,16569591.0
2013-04-01,16637924.0
2013-07-01,16848747.0
2013-10-01,17083138.0
2014-01-01,17102932.0
2014-04-01,17425766.0
2014-07-01,17719836.0
2014-10-01,17838453.0
2015-01-01,17970422.0
2015-04-01,18221299.0
2015-07-01,18331093.0
2015-10-01,18354371.0
2016-01-01,18409130.0
2016-04-01,18640729.0
2016-07-01,18799646.0
2016-10-01,18979245.0
2017-01-01,19162551.0
2017-04-01,19359122.0
2017-07-01,19588073.0
2017-10-01,19831829.0
2018-01-01,20041047.0
2018-04-01,20411871.0
